Date|SR
2011-07-01|199
2011-07-02|182
2011-07-03|341
2011-07-04|236
2011-07-05|98
2011-07-06|292
2011-07-07|321
2011-07-08|280
2011-07-09|219
2011-07-10|168
2011-07-11|188
2011-07-12|103
2011-07-13|142
2011-07-14|102
2011-07-15|188
2011-07-16|193
2011-07-17|167
2011-07-18|220
2011-07-19|288
2011-07-20|312
2011-07-21|232
2011-07-22|167
2011-07-23|116
2011-07-24|151
2011-07-25|165
2011-07-26|88
2011-07-27|109
2011-07-28|204
2011-07-29|264
2011-07-30|153
2011-07-31|135
2011-08-01|191
2011-08-02|208
2011-08-03|164
2011-08-04|148
2011-08-05|204
2011-08-06|148
2011-08-07|201
2011-08-08|154
2011-08-09|199
2011-08-10|94
2011-08-11|70
2011-08-12|165
2011-08-13|184
2011-08-14|105
2011-08-15|80
2011-08-16|75
2011-08-17|68
2011-08-18|103
2011-08-19|127
2011-08-20|175
2011-08-21|171
2011-08-22|58
2011-08-23|104
2011-08-24|103
2011-08-25|76
2011-08-26|75
2011-08-27|155
2011-08-28|68
2011-08-29|72
2011-08-30|92
2011-08-31|146
2011-09-01|146
2011-09-02|116
2011-09-03|44
2011-09-04|63
2011-09-05|58
2011-09-06|70
2011-09-07|53
2011-09-08|47
2011-09-09|33
2011-09-10|60
2011-09-11|34
2011-09-12|45
2011-09-13|65
2011-09-14|109
2011-09-15|36
2011-09-16|35
2011-09-17|22
2011-09-18|26
2011-09-19|23
2011-09-20|27
2011-09-21|18
2011-09-22|18
2011-09-23|41
2011-09-24|40
2011-09-25|33
2011-09-26|39
2011-09-27|25
2011-09-28|43
2011-09-29|32
2011-09-30|49
2011-09-30|-99.9
2011-10-01|41
2011-10-02|67
2011-10-03|42
2011-10-04|19
2011-10-05|47
2011-10-06|21
2011-10-07|32
2011-10-08|17
2011-10-09|23
2011-10-10|19
2011-10-11|24
2011-10-12|29
2011-10-13|36
2011-10-14|36
2011-10-15|23
2011-10-16|22
2011-10-17|21
2011-10-18|16
2011-10-19|22
2011-10-20|14
2011-10-21|26
2011-10-22|20
2011-10-23|14
2011-10-24|12
2011-10-25|12
2011-10-26|9
2011-10-27|9
2011-10-28|6
2011-10-29|10
2011-10-30|10
2011-10-31|8
2011-11-01|7
2011-11-02|8
2011-11-03|7
2011-11-04|7
2011-11-05|5
2011-11-06|5
2011-11-07|6
2011-11-08|3
2011-11-09|3
2011-11-10|3
2011-11-11|2
2011-11-12|3
2011-11-13|2
2011-11-14|2
2011-11-15|2
2011-11-16|1
2011-11-17|2
2011-11-18|1
2011-11-19|1
2011-11-20|1
2011-11-21|1
2011-11-22|1
2011-11-23|0
2011-11-24|0
2011-11-25|0
2011-11-26|0
2011-11-27|0
2011-11-28|0
2011-11-29|0
2011-11-30|0
2011-12-01|0
2011-12-02|0
2011-12-03|0
2011-12-04|0
2011-12-05|0
2011-12-06|0
2011-12-07|0
2011-12-08|0
2011-12-09|0
2011-12-10|0
2011-12-11|0
2011-12-12|0
2011-12-13|0
2011-12-14|0
2011-12-15|0
2011-12-16|0
2011-12-17|0
2011-12-18|0
2011-12-19|0
2011-12-20|0
2011-12-21|0
2011-12-22|0
2011-12-23|0
2011-12-24|0
2011-12-25|0
2011-12-26|0
2011-12-27|0
2011-12-28|0
2011-12-29|0
2011-12-30|0
2011-12-31|0
2012-01-01|0
2012-01-02|0
2012-01-03|0
2012-01-04|0
2012-01-05|0
2012-01-06|0
2012-01-07|0
2012-01-08|0
2012-01-09|0
2012-01-10|0
2012-01-11|0
2012-01-12|0
2012-01-13|0
