Date	SR
7/1/2011	199
7/2/2011	182
7/3/2011	341
7/4/2011	236
7/5/2011	98
7/6/2011	292
7/7/2011	321
7/8/2011	280
7/9/2011	219
7/10/2011	168
7/11/2011	188
7/12/2011	103
7/13/2011	142
7/14/2011	102
7/15/2011	188
7/16/2011	193
7/17/2011	167
7/18/2011	220
7/19/2011	288
7/20/2011	312
7/21/2011	232
7/22/2011	167
7/23/2011	116
7/24/2011	151
7/25/2011	165
7/26/2011	88
7/27/2011	109
7/28/2011	204
7/29/2011	264
7/30/2011	153
7/31/2011	135
8/1/2011	191
8/2/2011	208
8/3/2011	164
8/4/2011	148
8/5/2011	204
8/6/2011	148
8/7/2011	201
8/8/2011	154
8/9/2011	199
8/10/2011	94
8/11/2011	70
8/12/2011	165
8/13/2011	184
8/14/2011	105
8/15/2011	80
8/16/2011	75
8/17/2011	68
8/18/2011	103
8/19/2011	127
8/20/2011	175
8/21/2011	171
8/22/2011	58
8/23/2011	104
8/24/2011	103
8/25/2011	76
8/26/2011	75
8/27/2011	155
8/28/2011	68
8/29/2011	72
8/30/2011	92
8/31/2011	146
9/1/2011	146
9/2/2011	116
9/3/2011	44
9/4/2011	63
9/5/2011	58
9/6/2011	70
9/7/2011	53
9/8/2011	47
9/9/2011	33
9/10/2011	60
9/11/2011	34
9/12/2011	45
9/13/2011	65
9/14/2011	109
9/15/2011	36
9/16/2011	35
9/17/2011	22
9/18/2011	26
9/19/2011	23
9/20/2011	27
9/21/2011	18
9/22/2011	18
9/23/2011	41
9/24/2011	40
9/25/2011	33
9/26/2011	39
9/27/2011	25
9/28/2011	43
9/29/2011	32
9/30/2011	49
9/30/2011	-99.9
10/1/2011	41
10/2/2011	67
10/3/2011	42
10/4/2011	19
10/5/2011	47
10/6/2011	21
10/7/2011	32
10/8/2011	17
10/9/2011	23
10/10/2011	19
10/11/2011	24
10/12/2011	29
10/13/2011	36
10/14/2011	36
10/15/2011	23
10/16/2011	22
10/17/2011	21
10/18/2011	16
10/19/2011	22
10/20/2011	14
10/21/2011	26
10/22/2011	20
10/23/2011	14
10/24/2011	12
10/25/2011	12
10/26/2011	9
10/27/2011	9
10/28/2011	6
10/29/2011	10
10/30/2011	10
10/31/2011	8
11/1/2011	7
11/2/2011	8
11/3/2011	7
11/4/2011	7
11/5/2011	5
11/6/2011	5
11/7/2011	6
11/8/2011	3
11/9/2011	3
11/10/2011	3
11/11/2011	2
11/12/2011	3
11/13/2011	2
11/14/2011	2
11/15/2011	2
11/16/2011	1
11/17/2011	2
11/18/2011	1
11/19/2011	1
11/20/2011	1
11/21/2011	1
11/22/2011	1
11/23/2011	0
11/24/2011	0
11/25/2011	0
11/26/2011	0
11/27/2011	0
11/28/2011	0
11/29/2011	0
11/30/2011	0
12/1/2011	0
12/2/2011	0
12/3/2011	0
12/4/2011	0
12/5/2011	0
12/6/2011	0
12/7/2011	0
12/8/2011	0
12/9/2011	0
12/10/2011	0
12/11/2011	0
12/12/2011	0
12/13/2011	0
12/14/2011	0
12/15/2011	0
12/16/2011	0
12/17/2011	0
12/18/2011	0
12/19/2011	0
12/20/2011	0
12/21/2011	0
12/22/2011	0
12/23/2011	0
12/24/2011	0
12/25/2011	0
12/26/2011	0
12/27/2011	0
12/28/2011	0
12/29/2011	0
12/30/2011	0
12/31/2011	0
1/1/2012	0
1/2/2012	0
1/3/2012	0
1/4/2012	0
1/5/2012	0
1/6/2012	0
1/7/2012	0
1/8/2012	0
1/9/2012	0
1/10/2012	0
1/11/2012	0
1/12/2012	0
1/13/2012	0
1/14/2012	0
1/15/2012	0
1/16/2012	0
1/17/2012	0
1/18/2012	0
1/19/2012	0
1/20/2012	1
1/21/2012	1
1/22/2012	1
1/23/2012	1
1/24/2012	1
1/25/2012	1
1/26/2012	1
1/27/2012	2
1/28/2012	2
1/29/2012	2
1/30/2012	2
1/31/2012	2
2/1/2012	2
2/2/2012	2
2/3/2012	4
2/4/2012	3
2/5/2012	7
2/6/2012	4
2/7/2012	6
2/8/2012	10
2/9/2012	14
2/10/2012	6
2/11/2012	5
2/12/2012	6
2/13/2012	6
2/14/2012	6
2/15/2012	6
2/16/2012	11
2/17/2012	7
2/18/2012	10
2/19/2012	9
2/20/2012	8
2/21/2012	8
2/22/2012	8
2/23/2012	9
2/24/2012	11
2/25/2012	27
2/26/2012	39
2/27/2012	32
2/28/2012	22
2/29/2012	33
3/1/2012	38
3/2/2012	27
3/3/2012	22
3/4/2012	42
3/5/2012	41
3/6/2012	55
3/7/2012	53
3/8/2012	56
3/9/2012	71
3/10/2012	71
3/11/2012	64
3/12/2012	45
3/13/2012	61
3/14/2012	60
3/15/2012	58
3/16/2012	53
3/17/2012	55
3/18/2012	61
3/19/2012	68
3/20/2012	74
3/21/2012	84
3/22/2012	93
3/23/2012	94
3/24/2012	97
3/25/2012	90
3/26/2012	105
3/27/2012	121
3/28/2012	129
3/29/2012	140
3/30/2012	127
3/31/2012	138
4/1/2012	127
4/2/2012	113
4/3/2012	148
4/4/2012	123
4/5/2012	157
4/6/2012	153
4/7/2012	122
4/8/2012	169
4/9/2012	165
4/10/2012	139
4/11/2012	137
4/12/2012	158
4/13/2012	186
4/14/2012	195
4/15/2012	190
4/16/2012	190
4/17/2012	143
4/18/2012	129
4/19/2012	141
4/20/2012	141
4/21/2012	173
4/22/2012	174
4/23/2012	214
4/24/2012	194
4/25/2012	189
4/26/2012	98
4/27/2012	160
4/28/2012	202
4/29/2012	216
4/30/2012	196
5/1/2012	178
5/2/2012	206
5/3/2012	97
5/4/2012	190
5/5/2012	260
5/6/2012	221
5/7/2012	230
5/8/2012	204
5/9/2012	197
5/10/2012	206
5/11/2012	250
5/12/2012	226
5/13/2012	260
5/14/2012	205
5/15/2012	227
5/16/2012	283
5/17/2012	282
5/18/2012	260
5/19/2012	287
5/20/2012	276
5/21/2012	289
5/22/2012	293
5/23/2012	292
5/24/2012	296
5/25/2012	227
5/26/2012	217
5/27/2012	193
5/28/2012	273
5/29/2012	258
5/30/2012	286
5/31/2012	273
6/1/2012	298
6/2/2012	281
6/3/2012	164
6/4/2012	181
6/5/2012	198
6/6/2012	147
6/7/2012	119
6/8/2012	124
6/9/2012	112
6/10/2012	156
6/11/2012	307
6/12/2012	329
6/13/2012	145
6/14/2012	222
6/15/2012	350
6/16/2012	353
6/17/2012	350
6/18/2012	128
6/19/2012	276
6/20/2012	343
6/21/2012	330
6/22/2012	346
6/23/2012	301
6/24/2012	328
6/25/2012	211
6/26/2012	177
6/27/2012	143
6/28/2012	178
6/29/2012	143
6/30/2012	297
7/1/2012	301
7/2/2012	290
7/3/2012	309
7/4/2012	247
7/5/2012	258
7/6/2012	284
7/7/2012	204
7/8/2012	240
7/9/2012	170
7/10/2012	278
7/11/2012	244
7/12/2012	321
7/13/2012	325
7/14/2012	263
7/15/2012	86
7/16/2012	222
7/17/2012	133
7/18/2012	101
7/19/2012	124
7/20/2012	304
7/21/2012	157
7/22/2012	82
7/23/2012	275
7/24/2012	262
7/25/2012	131
7/26/2012	137
7/27/2012	181
7/28/2012	199
7/29/2012	212
7/30/2012	222
7/31/2012	169
8/1/2012	122
8/2/2012	180
8/3/2012	79
8/4/2012	113
8/5/2012	120
8/6/2012	214
8/7/2012	39
8/8/2012	147
8/9/2012	166
8/10/2012	110
8/11/2012	42
8/12/2012	71
8/13/2012	211
8/14/2012	223
8/15/2012	155
8/16/2012	73
8/17/2012	88
8/18/2012	108
8/19/2012	151
8/20/2012	135
8/21/2012	191
8/22/2012	107
8/23/2012	174
8/24/2012	112
8/25/2012	126
8/26/2012	144
8/27/2012	116
8/28/2012	58
8/29/2012	49
8/30/2012	81
8/31/2012	66
9/1/2012	73
9/2/2012	59
9/3/2012	65
9/4/2012	54
9/5/2012	97
9/6/2012	90
9/7/2012	53
9/8/2012	63
9/9/2012	86
9/10/2012	56
9/11/2012	73
9/12/2012	61
9/13/2012	71
9/14/2012	55
9/15/2012	71
9/16/2012	71
9/17/2012	23
9/18/2012	93
9/19/2012	87
9/20/2012	85
9/21/2012	103
9/22/2012	22
9/23/2012	29
9/24/2012	38
9/25/2012	53
9/26/2012	79
9/27/2012	42
9/28/2012	20
9/29/2012	53
9/30/2012	23
9/30/2012	-99.9
10/1/2012	33
10/2/2012	48
10/3/2012	54
10/4/2012	33
10/5/2012	39
10/6/2012	34
10/7/2012	31
10/8/2012	19
10/9/2012	25
10/10/2012	20
10/11/2012	34
10/12/2012	21
10/13/2012	32
10/14/2012	25
10/15/2012	47
10/16/2012	17
10/17/2012	22
10/18/2012	15
10/19/2012	21
10/20/2012	18
10/21/2012	32
10/22/2012	29
10/23/2012	32
10/24/2012	10
10/25/2012	14
10/26/2012	8
10/27/2012	11
10/28/2012	8
10/29/2012	12
10/30/2012	9
10/31/2012	7
11/1/2012	7
11/2/2012	7
11/3/2012	6
11/4/2012	9
11/5/2012	13
11/6/2012	8
11/7/2012	9
11/8/2012	4
11/9/2012	5
11/10/2012	3
11/11/2012	2
11/12/2012	2
11/13/2012	3
11/14/2012	2
11/15/2012	2
11/16/2012	1
11/17/2012	1
11/18/2012	1
11/19/2012	1
11/20/2012	1
11/21/2012	1
11/22/2012	0
11/23/2012	0
11/24/2012	0
11/25/2012	0
11/26/2012	0
11/27/2012	0
11/28/2012	0
11/29/2012	0
11/30/2012	0
12/1/2012	0
12/2/2012	0
12/3/2012	0
12/4/2012	0
12/5/2012	0
12/6/2012	0
12/7/2012	0
12/8/2012	0
12/9/2012	0
12/10/2012	0
12/11/2012	0
12/12/2012	0
12/13/2012	0
12/14/2012	0
12/15/2012	0
12/16/2012	0
12/17/2012	0
12/18/2012	0
12/19/2012	0
12/20/2012	0
12/21/2012	0
12/22/2012	0
12/23/2012	0
12/24/2012	0
12/25/2012	0
12/26/2012	0
12/27/2012	0
12/28/2012	0
12/29/2012	0
12/30/2012	0
12/31/2012	0
1/1/2013	0
1/2/2013	0
1/3/2013	0
1/4/2013	0
1/5/2013	0
1/6/2013	0
1/7/2013	0
1/8/2013	0
1/9/2013	0
1/10/2013	0
1/11/2013	0
1/12/2013	0
1/13/2013	0
1/14/2013	0
1/15/2013	0
1/16/2013	0
1/17/2013	0
1/18/2013	1
1/19/2013	0
1/20/2013	1
1/21/2013	0
1/22/2013	1
1/23/2013	1
1/24/2013	1
1/25/2013	1
1/26/2013	1
1/27/2013	2
1/28/2013	2
1/29/2013	3
1/30/2013	9
1/31/2013	3
2/1/2013	3
2/2/2013	4
2/3/2013	4
2/4/2013	3
2/5/2013	5
2/6/2013	12
2/7/2013	13
2/8/2013	17
2/9/2013	6
2/10/2013	15
2/11/2013	16
2/12/2013	8
2/13/2013	18
2/14/2013	31
2/15/2013	8
2/16/2013	9
2/17/2013	10
2/18/2013	29
2/19/2013	47
2/20/2013	41
2/21/2013	28
2/22/2013	20
2/23/2013	19
2/24/2013	20
2/25/2013	25
2/26/2013	34
2/27/2013	33
2/28/2013	52
3/1/2013	26
3/2/2013	24
3/3/2013	55
3/4/2013	61
3/5/2013	45
3/6/2013	66
3/7/2013	56
3/8/2013	51
3/9/2013	57
3/10/2013	52
3/11/2013	38
3/12/2013	40
3/13/2013	38
3/14/2013	46
3/15/2013	76
3/16/2013	91
3/17/2013	90
3/18/2013	93
3/19/2013	80
3/20/2013	73
3/21/2013	65
3/22/2013	92
3/23/2013	114
3/24/2013	85
3/25/2013	115
3/26/2013	84
3/27/2013	83
3/28/2013	98
3/29/2013	136
3/30/2013	142
3/31/2013	139
4/1/2013	130
4/2/2013	119
4/3/2013	152
4/4/2013	158
4/5/2013	159
4/6/2013	154
4/7/2013	150
4/8/2013	171
4/9/2013	174
4/10/2013	133
4/11/2013	127
4/12/2013	175
4/13/2013	189
4/14/2013	179
4/15/2013	192
4/16/2013	197
4/17/2013	204
4/18/2013	205
4/19/2013	204
4/20/2013	211
4/21/2013	189
4/22/2013	208
4/23/2013	174
4/24/2013	209
4/25/2013	217
4/26/2013	182
4/27/2013	192
4/28/2013	222
4/29/2013	182
4/30/2013	230
5/1/2013	261
5/2/2013	243
5/3/2013	238
5/4/2013	243
5/5/2013	251
5/6/2013	262
5/7/2013	259
5/8/2013	278
5/9/2013	216
5/10/2013	250
5/11/2013	288
5/12/2013	242
5/13/2013	185
5/14/2013	287
5/15/2013	245
5/16/2013	295
5/17/2013	278
5/18/2013	236
5/19/2013	292
5/20/2013	325
5/21/2013	283
5/22/2013	291
5/23/2013	293
5/24/2013	244
5/25/2013	252
5/26/2013	305
5/27/2013	303
5/28/2013	168
5/29/2013	200
5/30/2013	294
5/31/2013	230
6/1/2013	212
6/2/2013	274
6/3/2013	326
6/4/2013	99
6/5/2013	176
6/6/2013	177
6/7/2013	223
6/8/2013	261
6/9/2013	258
6/10/2013	196
6/11/2013	224
6/12/2013	213
6/13/2013	339
6/14/2013	329
6/15/2013	311
6/16/2013	98
6/17/2013	146
6/18/2013	315
6/19/2013	355
6/20/2013	350
6/21/2013	342
6/22/2013	260
6/23/2013	137
6/24/2013	313
6/25/2013	123
6/26/2013	136
6/27/2013	318
6/28/2013	130
6/29/2013	192
6/30/2013	214
7/1/2013	205
7/2/2013	188
7/3/2013	98
7/4/2013	254
7/5/2013	212
7/6/2013	209
7/7/2013	323
7/8/2013	330
7/9/2013	109
7/10/2013	159
7/11/2013	259
7/12/2013	308
7/13/2013	292
7/14/2013	324
7/15/2013	316
7/16/2013	214
7/17/2013	253
7/18/2013	240
7/19/2013	364
7/20/2013	209
7/21/2013	206
7/22/2013	272
7/23/2013	131
7/24/2013	42
7/25/2013	108
7/26/2013	80
7/27/2013	174
7/28/2013	80
7/29/2013	145
7/30/2013	90
7/31/2013	94
8/1/2013	87
8/2/2013	196
8/3/2013	161
8/4/2013	143
8/5/2013	213
8/6/2013	220
8/7/2013	116
8/8/2013	216
8/9/2013	180
8/10/2013	105
8/11/2013	174
8/12/2013	212
8/13/2013	91
8/14/2013	198
8/15/2013	60
8/16/2013	66
8/17/2013	40
8/18/2013	100
8/19/2013	94
8/20/2013	50
8/21/2013	53
8/22/2013	109
8/23/2013	50
8/24/2013	81
8/25/2013	92
8/26/2013	101
8/27/2013	80
8/28/2013	132
8/29/2013	124
8/30/2013	65
8/31/2013	48
9/1/2013	98
9/2/2013	76
9/3/2013	44
9/4/2013	32
9/5/2013	59
9/6/2013	36
9/7/2013	147
9/8/2013	47
9/9/2013	37
9/10/2013	55
9/11/2013	82
9/12/2013	123
9/13/2013	37
9/14/2013	69
9/15/2013	38
9/16/2013	30
9/17/2013	32
9/18/2013	48
9/19/2013	43
9/20/2013	65
9/21/2013	14
9/22/2013	59
9/23/2013	51
9/24/2013	75
9/25/2013	98
9/26/2013	43
9/27/2013	55
9/28/2013	37
9/29/2013	41
9/30/2013	45
9/30/2013	-99.9
10/1/2013	35
10/2/2013	34
10/3/2013	47
10/4/2013	42
10/5/2013	31
10/6/2013	44
10/7/2013	65
10/8/2013	32
10/9/2013	26
10/10/2013	22
10/11/2013	36
10/12/2013	36
10/13/2013	44
10/14/2013	29
10/15/2013	32
10/16/2013	47
10/17/2013	24
10/18/2013	20
10/19/2013	27
10/20/2013	29
10/21/2013	27
10/22/2013	27
10/23/2013	18
10/24/2013	10
10/25/2013	13
10/26/2013	9
10/27/2013	7
10/28/2013	9
10/29/2013	9
10/30/2013	8
10/31/2013	7
11/1/2013	10
11/2/2013	8
11/3/2013	6
11/4/2013	7
11/5/2013	5
11/6/2013	3
11/7/2013	6
11/8/2013	4
11/9/2013	4
11/10/2013	2
11/11/2013	3
11/12/2013	2
11/13/2013	2
11/14/2013	1
11/15/2013	1
11/16/2013	1
11/17/2013	1
11/18/2013	1
11/19/2013	1
11/20/2013	1
11/21/2013	1
11/22/2013	1
11/23/2013	1
11/24/2013	0
11/25/2013	1
11/26/2013	0
11/27/2013	0
11/28/2013	0
11/29/2013	0
11/30/2013	0
12/1/2013	0
12/2/2013	0
12/3/2013	0
12/4/2013	0
12/5/2013	0
12/6/2013	0
12/7/2013	0
12/8/2013	0
12/9/2013	0
12/10/2013	0
12/11/2013	0
12/12/2013	0
12/13/2013	0
12/14/2013	0
