#------------------------------------------------- WARNING --------------------------------------------|||||||||||||
# |||||||||||||
# The data you have obtained from this automated Natural Resources Conservation Service |||||||||||||
# database are subject to revision regardless of indicated Quality Assurance level. |||||||||||||
# Data are released on condition that neither the NRCS nor the United States Government |||||||||||||
# may be held liable for any damages resulting from its use. |||||||||||||
# |||||||||||||
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor |||||||||||||
# conversion equation and varies through the output range. Solutions are in development. |||||||||||||
# For more information go to Air Temperature Bias Correction. |||||||||||||
# |||||||||||||
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf|||||||||||||
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/|||||||||||||
# |||||||||||||
# Support Contact: usdafpacbc@servicenowservices.com|||||||||||||
# |||||||||||||
#------------------------------------------------------------------------------------------------------|||||||||||||
# |||||||||||||
# Reporting Frequency: Daily|||||||||||||
# Date Range: Period of Record|||||||||||||
#|||||||||||||
# Data for the following site(s) are contained in this file:|||||||||||||
#|||||||||||||
#|||||||||||||
# |||||||||||||
# Data items provided in this file:|||||||||||||
#|||||||||||||
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              |||||||||||||
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  |||||||||||||
# |||||||||||||
# Quality Control flags included:|||||||||||||
#|||||||||||||
# Flag    Name                Description|||||||||||||
#  V      Valid               Validated Data|||||||||||||
#  N      No Profile          No profile for automated validation|||||||||||||
#  E      Edit                Edit| minor adjustment for sensor noise||||||||||||
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets|||||||||||||
#  K      Estimate            Estimate|||||||||||||
#  X      External Estimate   External estimate|||||||||||||
#  S      Suspect             Suspect data|||||||||||||
# |||||||||||||
# Quality Assurance flags included:|||||||||||||
#|||||||||||||
# Flag    Name                Description|||||||||||||
#  U      Unknown             Unknown|||||||||||||
#  R      Raw                 No Human Review|||||||||||||
#  P      Provisional         Preliminary Human Review|||||||||||||
#  A      Approved            Processing and Final Review Completed|||||||||||||
# |||||||||||||
#------------------------------------------------------------------------------------------------------|||||||||||||
# |||||||||||||
# Prudhoe Bay (1177) |||||||||||||
# Alaska  SNOTEL Site - 30 ft|||||||||||||
# Reporting Frequency: Daily; Date Range: Period of Record|||||||||||||
#|||||||||||||
# As of: Oct 11|2024| 11:48:19 AM GMT-08:00|||||||||||
#|||||||||||||
Water Year|Day|Oct|Nov|Dec|Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep
||Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)|Air Temperature Maximum (degF)
2003|30||||||||||||39.2
2003|31||||||||||||
2004|1|44.6|21.2|-18.4|28.4|-23.8|-5.8|-11.2|32|33.8|66.2|42.8|41
2004|2|41|24.8|-14.8|28.4|-25.6|-4|-14.8|28.4|33.8|62.6|41|39.2
2004|3|32|26.6|-18.4|30.2|-18.4|-18.4|-7.6|23|35.6|66.2|46.4|37.4
2004|4|32|32|-16.6|19.4|-16.6|-18.4|-2.2|19.4|35.6|55.4|46.4|39.2
2004|5|32|35.6|-4|1.4|-16.6|-32.8|1.4|15.8|37.4|46.4|66.2|50
2004|6|32|30.2|-11.2|-2.2|-20.2|-23.8|6.8|15.8|35.6|44.6|71.6|48.2
2004|7|32|15.8|-20.2|-18.4|-34.6|-23.8|14|15.8|37.4|55.4|66.2|53.6
2004|8|32|6.8|-13|-9.4|-18.4|-25.6|14|21.2|35.6|53.6|66.2|41
2004|9|30.2|5|-2.2|3.2|-9.4|-22|14|30.2|35.6|48.2|64.4|37.4
2004|10|32|1.4|1.4|3.2|-9.4|-13|12.2|37.4|39.2|69.8|59|37.4
2004|11|26.6|5|8.6|3.2|-11.2|-18.4|8.6|39.2|37.4|51.8|59|35.6
2004|12|28.4|3.2|6.8|-0.4|-14.8|-11.2|14|30.2|39.2|51.8|59|32
2004|13|24.8|-13|5|-13|-14.8|-7.6|10.4|26.6|42.8|62.6|59|35.6
2004|14|30.2|-23.8|6.8|-13|-25.6|-7.6|14|32|46.4|48.2|60.8|35.6
2004|15|32|-22|5|-20.2|-25.6|-2.2|10.4|30.2|60.8|46.4|62.6|37.4
2004|16|28.4|-11.2|1.4|-18.4|-36.4|-5.8|8.6|30.2|68|48.2|68|35.6
2004|17|26.6|-11.2|5|-11.2|-36.4|-18.4|10.4|42.8|62.6|55.4|75.2|41
2004|18|23|-14.8|10.4|-11.2|-40|-18.4|6.8|39.2|57.2|48.2|50|33.8
2004|19|24.8|10.4|10.4|-16.6|-20.2|23|5|41|66.2|55.4|46.4|33.8
2004|20|26.6|32|8.6|-18.4|-16.6|28.4|5|44.6|48.2|48.2|48.2|35.6
2004|21|21.2|21.2|8.6|-20.2|-18.4|26.6|14|37.4|50|57.2|46.4|35.6
2004|22|26.6|3.2|5|-36.4|-16.6|-0.4|10.4|35.6|59|69.8|42.8|37.4
2004|23|26.6|6.8|-4|-4|-20.2|-20.2|12.2|32|60.8|69.8|37.4|37.4
2004|24|26.6|1.4|-7.6|-5.8|-23.8|-9.4|23|32|51.8|66.2|41|33.8
2004|25|23|-0.4|-5.8|-22|-29.2|-23.8|17.6|30.2|55.4|59|39.2|33.8
2004|26|30.2|17.6|-7.6|-23.8|-32.8|-22|37.4|32|62.6|48.2|44.6|32
2004|27|19.4|15.8|1.4|-25.6|-29.2|-22|35.6|32|62.6|42.8|57.2|33.8
2004|28|32|3.2|15.8|-4|-25.6|-18.4|30.2|32|50|39.2|46.4|32
2004|29|35.6|-5.8|14|-2.2|-18.4|-11.2|28.4|32|39.2|53.6|41|32
2004|30|33.8|-11.2|17.6|-11.2||-7.6|24.8|33.8|48.2|51.8|51.8|28.4
2004|31|24.8||15.8|-29.2||-11.2||33.8||39.2|42.8|
2005|1|28.4|8.6|-4|24.8|-9.4|-25.6|-5.8|28.4|33.8|44.6|50|41
2005|2|32|10.4|-0.4|32|-22|-22|-4|23|33.8|39.2|57.2|50
2005|3|32|8.6|3.2|28.4|-22|-16.6|-5.8|21.2|35.6|41|62.6|42.8
2005|4|33.8|-5.8|1.4|23|-18.4|-9.4|-2.2|19.4|35.6|44.6|53.6|39.2
2005|5|32|-9.4|-5.8|32|-11.2|-2.2|1.4|19.4|32|41|64.4|37.4
2005|6|32|-7.6|-7.6|33.8|-11.2|-7.6|8.6|24.8|44.6|42.8|59|37.4
