#------------------------------------------------- WARNING --------------------------------------------|||||||||||||
# |||||||||||||
# The data you have obtained from this automated Natural Resources Conservation Service |||||||||||||
# database are subject to revision regardless of indicated Quality Assurance level. |||||||||||||
# Data are released on condition that neither the NRCS nor the United States Government |||||||||||||
# may be held liable for any damages resulting from its use. |||||||||||||
# |||||||||||||
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor |||||||||||||
# conversion equation and varies through the output range. Solutions are in development. |||||||||||||
# For more information go to Air Temperature Bias Correction. |||||||||||||
# |||||||||||||
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf|||||||||||||
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/|||||||||||||
# |||||||||||||
# Support Contact: usdafpacbc@servicenowservices.com|||||||||||||
# |||||||||||||
#------------------------------------------------------------------------------------------------------|||||||||||||
# |||||||||||||
# Reporting Frequency: Daily|||||||||||||
# Date Range: Period of Record|||||||||||||
# Report Instantaneous Data As: Start of Day|||||||||||||
#|||||||||||||
# Data for the following site(s) are contained in this file:|||||||||||||
#|||||||||||||
"#	SNOTEL 1177: Prudhoe Bay"| AK||||||||||||
# |||||||||||||
# Data items provided in this file:|||||||||||||
#|||||||||||||
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                           |||||||||||||
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation  |||||||||||||
# |||||||||||||
# Quality Control flags included:|||||||||||||
#|||||||||||||
# Flag    Name                Description|||||||||||||
#  V      Valid               Validated Data|||||||||||||
#  N      No Profile          No profile for automated validation|||||||||||||
#  E      Edit                Edit| minor adjustment for sensor noise||||||||||||
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets|||||||||||||
#  K      Estimate            Estimate|||||||||||||
#  X      External Estimate   External estimate|||||||||||||
#  S      Suspect             Suspect data|||||||||||||
# |||||||||||||
# Quality Assurance flags included:|||||||||||||
#|||||||||||||
# Flag    Name                Description|||||||||||||
#  U      Unknown             Unknown|||||||||||||
#  R      Raw                 No Human Review|||||||||||||
#  P      Provisional         Preliminary Human Review|||||||||||||
#  A      Approved            Processing and Final Review Completed|||||||||||||
# |||||||||||||
#------------------------------------------------------------------------------------------------------|||||||||||||
# |||||||||||||
# Prudhoe Bay (1177) |||||||||||||
# Alaska  SNOTEL Site - 30 ft|||||||||||||
# Reporting Frequency: Daily; Date Range: Period of Record|||||||||||||
#|||||||||||||
# As of: Oct 11|2024| 11:40:31 AM GMT-08:00|||||||||||
#|||||||||||||
Water Year|Day|Oct|Nov|Dec|Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep
||Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values|Precipitation Accumulation (in) Start of Month Values
2004|1|0|1.2|1.6|2.1|2.2|2.2|3.1|4.7|5.1|5.9|6.3|7.1
2004|2|0.1|1.2|1.6|2.1|2.2|2.2|3.1|4.7|5.1|5.9|6.3|7.3
2004|3|0.1|1.2|1.6|2.1|2.2|2.3|3.1|4.7|5.1|5.9|6.4|7.4
2004|4|0.2|1.2|1.6|2.1|2.2|2.3|3.1|4.7|5.1|5.9|6.4|7.4
2004|5|0.4|1.2|1.6|2.2|2.2|2.3|3.1|4.7|5.1|5.9|6.5|7.5
2004|6|0.4|1.2|1.6|2.2|2.2|2.3|3.1|4.7|5.1|5.9|6.5|7.5
2004|7|0.4|1.3|1.6|2.2|2.2|2.3|3.3|4.7|5.1|6.1|6.5|7.5
2004|8|0.4|1.3|1.6|2.2|2.2|2.3|3.3|4.7|5.1|6.1|6.5|7.5
2004|9|0.4|1.3|1.6|2.2|2.2|2.3|3.3|4.7|5.2|6.1|6.5|7.6
2004|10|0.4|1.3|1.6|2.2|2.2|2.3|3.3|4.7|5.2|6.1|6.5|7.6
2004|11|0.4|1.3|1.6|2.2|2.2|2.3|3.3|4.7|5.3|6.1|6.5|7.6
2004|12|0.4|1.3|1.9|2.2|2.2|2.3|4.1|4.8|5.3|6.1|6.5|7.6
2004|13|0.4|1.3|1.9|2.2|2.2|2.3|4.1|4.8|5.3|6.1|6.5|7.6
2004|14|0.4|1.3|1.9|2.2|2.2|2.3|4.2|4.8|5.3|6.1|6.6|7.6
2004|15|0.4|1.3|1.9|2.2|2.2|2.3|4.2|4.8|5.3|6.1|6.6|7.6
2004|16|0.4|1.3|1.9|2.2|2.2|2.3|4.2|4.8|5.4|6.1|6.6|7.6
2004|17|0.4|1.3|1.9|2.2|2.2|2.3|4.2|4.8|5.4|6.1|6.6|7.6
2004|18|0.5|1.3|1.9|2.2|2.2|2.3|4.2|4.9|5.5|6.1|6.6|7.6
2004|19|0.5|1.3|1.9|2.2|2.2|2.4|4.2|4.9|5.5|6.1|6.6|7.6
2004|20|0.5|1.3|1.9|2.2|2.2|2.4|4.2|4.9|5.6|6.1|6.6|7.6
2004|21|0.5|1.3|2|2.2|2.2|2.6|4.2|4.9|5.7|6.1|6.6|7.7
2004|22|0.5|1.4|2|2.2|2.2|2.6|4.2|4.9|5.8|6.1|6.6|7.7
2004|23|1|1.6|2.1|2.2|2.2|2.6|4.2|4.9|5.8|6.1|6.6|7.7
2004|24|1|1.6|2.1|2.2|2.2|2.6|4.2|5|5.8|6.1|6.6|7.7
2004|25|1|1.6|2.1|2.2|2.2|2.6|4.2|5.1|5.8|6.1|6.6|7.8
2004|26|1|1.6|2.1|2.2|2.2|2.9|4.3|5.1|5.8|6.1|6.6|7.9
2004|27|1|1.6|2.1|2.2|2.2|2.9|4.3|5.1|5.9|6.1|6.6|7.9
2004|28|1.2|1.6|2.1|2.2|2.2|2.9|4.7|5.1|5.9|6.1|6.6|7.9
2004|29|1.2|1.6|2.1|2.2|2.2|2.9|4.7|5.1|5.9|6.2|6.6|7.9
2004|30|1.2|1.6|2.1|2.2||3|4.7|5.1|5.9|6.2|6.6|7.9
2004|31|1.2||2.1|2.2||3.1||5.1||6.2|6.6|
2005|1|0|0.6|1.1|1.4|2.2|2.3|3.5|3.9|4.6|4.6|6|6.7
2005|2|0|0.6|1.1|1.4|2.2|2.3|3.5|3.9|4.6|4.6|6|6.7
2005|3|0|0.6|1.1|1.4|2.2|2.3|3.5|3.9|4.6|4.7|6|6.8
2005|4|0.1|0.6|1.1|1.4|2.2|2.3|3.5|3.9|4.6|4.7|6|6.9
2005|5|0.1|0.6|1.1|1.4|2.2|2.3|3.5|4|4.6|4.7|6|6.9
2005|6|0.2|0.6|1.1|1.4|2.2|2.6|3.5|4|4.6|5.3|6|6.9
2005|7|0.4|0.6|1.1|1.5|2.2|2.8|3.5|4|4.6|5.3|6|6.9
2005|8|0.4|0.6|1.1|2|2.2|2.8|3.6|4|4.6|5.3|6|6.9
2005|9|0.4|0.6|1.1|2.2|2.2|3.2|3.7|4|4.6|5.4|6|6.9
2005|10|0.4|0.6|1.1|2.2|2.3|3.2|3.7|4|4.6|5.4|6.3|6.9
2005|11|0.4|0.6|1.1|2.2|2.3|3.3|3.7|4|4.6|5.8|6.3|6.9
