Min of_Band_1,Max of_Band_1,Label,Count
4.68,7.48,4.68-7.48,"349,170"
7.48,10.28,7.48-10.28,"1,094,535"
10.28,13.08,10.28-13.08,"1,309,892"
13.08,15.88,13.08-15.88,"2,263,142"
15.88,18.68,15.88-18.68,"3,097,026"
18.68,21.48,18.68-21.48,"4,285,123"
21.48,24.28,21.48-24.28,"7,421,257"
24.28,27.08,24.28-27.08,"8,894,325"
27.08,29.88,27.08-29.88,"9,168,480"
29.88,32.68,29.88-32.68,"9,663,489"
32.68,35.48,32.68-35.48,"8,460,041"
35.48,38.28,35.48-38.28,"7,194,482"
38.28,41.08,38.28-41.08,"5,050,500"
41.08,43.88,41.08-43.88,"4,227,242"
43.88,46.68,43.88-46.68,"3,466,091"
46.68,49.48,46.68-49.48,"3,207,795"
49.48,52.28,49.48-52.28,"2,481,361"
52.28,55.08,52.28-55.08,"1,641,636"
55.08,57.88,55.08-57.88,"1,191,998"
57.88,60.68,57.88-60.68,"752,523"
60.68,63.48,60.68-63.48,"543,485"
63.48,66.28,63.48-66.28,"457,052"
66.28,69.08,66.28-69.08,"335,404"
69.08,71.88,69.08-71.88,"434,094"
71.88,74.67,71.88-74.67,"201,831"
74.67,77.47,74.67-77.47,"158,215"
77.47,80.27,77.47-80.27,"84,838"
80.27,83.07,80.27-83.07,"57,487"
83.07,85.87,83.07-85.87,"59,461"
85.87,88.67,85.87-88.67,"48,412"
88.67,91.47,88.67-91.47,"14,911"
91.47,94.27,91.47-94.27,"5,396"
